Order	Concept	Role	HasCodeList	Description	Mandatory
1	SERIES	Dimension	Yes	SERIES_DESC	Yes
2	REPORTING_TYPE	Dimension	Yes	REPORTING_TYPE_DESC	Yes
3	GEOLEVEL	Attribute	Yes	GEOLEVEL_DESC	Yes
4	X	Attribute	No		Yes
5	Y	Attribute	No		Yes
6	REF_AREA	Dimension	Yes	REF_AREA_DESC	Yes
7	TIME_PERIOD	Dimension	No		Yes
8	ACTIVITY	Dimension	Yes	ACTIVITY_DESC	No
9	SEX	Dimension	Yes	SEX_DESC	No
10	AGE	Dimension	Yes	AGE_DESC	No
11	URBANIZATION	Dimension	Yes	URBANIZATION_DESC	No
12	MARITAL_STATUS	Dimension	Yes	MARITAL_STATUS_DESC	No
13	DISABILITY_STATUS	Dimension	Yes	DISABILITY_STATUS_DESC	No
14	ETHNICITY	Dimension	Yes	ETHNICITY_DESC	No
15	IMMIGRATION_STATUS	Dimension	Yes	IMMIGRATION_STATUS_DESC	No
16	EMPLOYMENT_STATUS	Dimension	Yes	EMPLOYMENT_STATUS_DESC	No
17	SOCIOEC_STATUS	Dimension	Yes	SOCIOEC_STATUS_DESC	No
18	INCOME_WEALTH_QUANTILE	Dimension	Yes	INCOME_WEALTH_QUANTILE_DESC	No
19	OCCUPATION	Dimension	Yes	OCCUPATION_DESC	No
20	TUS_ACTIVITY	Dimension	Yes	TUS_ACTIVITY_DESC	No
21	VIOLENCE_TYPE	Dimension	Yes	VIOLENCE_TYPE_DESC	No
22	PERPETRATOR	Dimension	Yes	PERPETRATOR_DESC	No
23	COD	Dimension	Yes	COD_DESC	No
24	DISCIPLINE	Dimension	Yes	DISCIPLINE_DESC	No
25	EDUCATION_LEV	Dimension	Yes	EDUCATION_LEV_DESC	No
26	ICT_SKILL	Dimension	Yes	ICT_SKILL_DESC	No
27	SCHOOL_TYPE	Dimension	Yes	SCHOOL_TYPE_DESC	No
28	HOUSEHOLD_TYPE	Dimension	Yes	HOUSEHOLD_TYPE_DESC	No
29	MINISTER_PORTFOLIO	Dimension	Yes	MINISTER_PORTFOLIO_DESC	No
30	OBS_VALUE	Measure	No		Yes
31	LOWER_BOUND	Measure	No		No
32	UPPER_BOUND	Measure	No		No
33	STD_ERROR	Measure	No		No
34	VAR_COEF	Measure	No		No
35	UNIT_MEASURE	Attribute	Yes	UNIT_MEASURE_DESC	Yes
36	UNIT_MULT	Attribute	Yes	UNIT_MULT_DESC	Yes
37	NATURE	Attribute	Yes	NATURE_DESC	Yes
38	SOURCE_DETAIL	Attribute	No		Yes
39	SOURCE_DETAIL_URL	Attribute	No		Yes
40	TIME_DETAIL	Attribute	No		Yes
41	COMMENT_OBS	Attribute	No		Yes
