theme	title	id	Narrative	URL	Chapter	order
Economic empowerment	Women and men in the labour force	27c1c1ad540347aabc70434238223919	NW1	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=27c1c1ad540347aabc70434238223919	Economic Empowerment	1
Economic empowerment	Unemployment rate by sex, age and persons with disabilities	3cbb3176f1434be9998a51378715e290	NW26	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=3cbb3176f1434be9998a51378715e290	Economic Empowerment	2
Economic empowerment	Latvia: influence of the presence of children in the household on the employment of women and men	92a42ff654de4d23a6a1da976054cf63	NW38	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=92a42ff654de4d23a6a1da976054cf63	Economic Empowerment	3
Economic empowerment	Youth not in education, employment or training (NEET)	a0e8cdf5770e41bca0f4b94df37131b2	NW18	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=a0e8cdf5770e41bca0f4b94df37131b2	Economic Empowerment	4
Economic empowerment	Measurementand status of young women and men inpaid and unpaid work [ECLAC]	17627ede6e6241bab21c21deaf483ab1	NW19	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=17627ede6e6241bab21c21deaf483ab1	Economic Empowerment	5
Economic empowerment	Brazil: youth not in education, employment or training (NEET)	c21aa5ab525a44aa9afa6d5c14111148	NW20	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=c21aa5ab525a44aa9afa6d5c14111148	Economic Empowerment	6
Economic empowerment	Colombia: effect of the Coronavirus-19 pandemic on women	2a77ee73513e4185840acb1b6bc1361b	NW37	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=2a77ee73513e4185840acb1b6bc1361b	Economic Empowerment	7
Economic empowerment	Employment of women and men by economic sector	16cf3ba269944620b610ef7f80671fd3	NW2	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=16cf3ba269944620b610ef7f80671fd3	Economic Empowerment	8
Economic empowerment	Gender segregation in occupations	92b9b878ae304c388d10a3c31facb87f	NW3	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=92b9b878ae304c388d10a3c31facb87f	Economic Empowerment	9
Economic empowerment	Methodological note on gender equality in trade [UNCTAD]	aff893133d3b4565b69acd1f7b4d0110	NW33	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=aff893133d3b4565b69acd1f7b4d0110	Economic Empowerment	10
Economic empowerment	Status in employment	7e1b3840e78a4546b8a42f908466d742	NW23	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=7e1b3840e78a4546b8a42f908466d742	Economic Empowerment	11
Economic empowerment	Women and men in informal employment by sector	80c59f2ac4ac457c8f5b4223992fb06f	NW5	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=80c59f2ac4ac457c8f5b4223992fb06f	Economic Empowerment	12
Economic empowerment	Women and men in part-time employment	11b52c23c621480db0f9017fa5bff63b	NW4	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=11b52c23c621480db0f9017fa5bff63b	Economic Empowerment	13
Economic empowerment	Switzerland: employment models in couple households	2bb9274fcdb84ff781d49734e814f03f	NW31	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=2bb9274fcdb84ff781d49734e814f03f	Economic Empowerment	14
Economic empowerment	Japan: households with dual incomes and presence of women in non-regular employment	d965358e9e8d4f1ba249dadaa55ea703	NW27	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=d965358e9e8d4f1ba249dadaa55ea703	Economic Empowerment	15
Economic empowerment	Gender pay gap	733303cb424641cf9f3ae89ea97874d2	NW21	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=733303cb424641cf9f3ae89ea97874d2	Economic Empowerment	16
Economic empowerment	Income and unpaid work in Latin America: intersection of gender and race inequalities [ECLAC]	e7b54015d6eb4816a7831a3839027b32	NW17	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=e7b54015d6eb4816a7831a3839027b32	Economic Empowerment	17
Economic empowerment	Canada: gender wage gap	cdf24c9c28b94260a4917cf5211cb321	NW32	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=cdf24c9c28b94260a4917cf5211cb321	Economic Empowerment	18
Economic empowerment	Maternity and paternity leave and related benefits	85520f09c5d747f4b9c4ec858155f1ce	NW24	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=85520f09c5d747f4b9c4ec858155f1ce	Economic Empowerment	19
Economic empowerment	Ratification of international agreements on equal renumeration and on equal rights in employment and discriminatory laws and regulations at the national level	fa88979f129e4d479aaa7d0120ebf853	NW9	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=fa88979f129e4d479aaa7d0120ebf853	Economic Empowerment	20
Economic empowerment	Earnings of married women and men in employmentby type of remuneration	83bf64a8faee479fb4639d5d8b684a1d	NW22	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=83bf64a8faee479fb4639d5d8b684a1d	Economic Empowerment	21
