SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1600	Percentage of women serving on board with female chair	G	Global	1	Region	nan	nan	142	Asia	2018	F	Female	19.2	PT	Percent	0	Units	nan	nan	Deloitte, Women in the boardroom A global perspective (6th edition)	nan	nan	nan
S_1600	Percentage of women serving on board with female chair	G	Global	1	Region	nan	nan	150	Europe	2018	F	Female	31.8	PT	Percent	0	Units	nan	nan	Deloitte, Women in the boardroom A global perspective (6th edition)	nan	nan	nan
S_1600	Percentage of women serving on board with female chair	G	Global	1	Region	nan	nan	2	Africa	2018	F	Female	33.0	PT	Percent	0	Units	nan	nan	Deloitte, Women in the boardroom A global perspective (6th edition)	nan	nan	nan
S_1600	Percentage of women serving on board with female chair	G	Global	2	Sub-region	nan	nan	21	Northern America	2018	F	Female	29.6	PT	Percent	0	Units	nan	nan	Deloitte, Women in the boardroom A global perspective (6th edition)	nan	nan	nan
S_1600	Percentage of women serving on board with female chair	G	Global	2	Sub-region	nan	nan	420	Latin America	2018	F	Female	17.8	PT	Percent	0	Units	nan	nan	Deloitte, Women in the boardroom A global perspective (6th edition)	nan	nan	nan
S_1600	Percentage of women serving on board with female chair	G	Global	2	Sub-region	nan	nan	53	Australia and New Zealand	2018	F	Female	35.8	PT	Percent	0	Units	nan	nan	Deloitte, Women in the boardroom A global perspective (6th edition)	nan	nan	nan
