SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	ICT_SKILL	ICT_SKILL_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	COPA	Using copy and paste tools to duplicate or move information within a document	45.753890000000006	PT	Percent	0	Units	nan	nan	SDG	nan	nan	National Statistical Institute
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	ARSP	Using basic arithmetic formula in a spreadsheet	27.45678	PT	Percent	0	Units	nan	nan	SDG	nan	nan	National Statistical Institute
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	TRAF	Transferring files between a computer and other devices	32.68535	PT	Percent	0	Units	nan	nan	SDG	nan	nan	National Statistical Institute
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	INST	Connecting and installing new devices	20.13646	PT	Percent	0	Units	nan	nan	SDG	nan	nan	National Statistical Institute
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	PCPR	Writing a computer program using a specialized programming language	4.514419999999999	PT	Percent	0	Units	nan	nan	SDG	nan	nan	National Statistical Institute
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	EPRS	Creating electronic presentations with presentation software	9.10239	PT	Percent	0	Units	nan	nan	SDG	nan	nan	National Statistical Institute
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	CMFL	Copying or moving a file or folder	50.61998	PT	Percent	0	Units	nan	nan	SDG	nan	nan	National Statistical Institute
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	F	Female	Y_GE15	15 years old and over	ARSP	Using basic arithmetic formula in a spreadsheet	27.996609999999997	PT	Percent	0	Units	nan	nan	SDG	nan	nan	Eurostat
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	F	Female	Y_GE15	15 years old and over	TRAF	Transferring files between a computer and other devices	29.979290000000002	PT	Percent	0	Units	nan	nan	SDG	nan	nan	Eurostat
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	F	Female	Y_GE15	15 years old and over	PCPR	Writing a computer program using a specialized programming language	3.3637900000000003	PT	Percent	0	Units	nan	nan	SDG	nan	nan	Eurostat
