SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	MINISTER_PORTFOLIO	MINISTER_PORTFOLIO_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	39.63505296	8.631223181000001	231	Ethiopia	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	25.84093481	58.68487172	233	Estonia	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	43.3713615	42.04813028	268	Georgia	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	83.94678863	28.25866332	524	Nepal	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	12.46329038	43.93841766	674	San Marino	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	-64.66224284	-16.71273412	68	Bolivia (Plurinational State of)	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	103.81078829999998	1.361009155	702	Singapore	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	19.48495604	48.70741446	703	Slovakia	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	8.223158	46.96617097	756	Switzerland	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1310	Countries with a female Head of State	G	Global	4	Country or Area	-61.29389504	10.41877263	780	Trinidad and Tobago	2019	F	Female	_T	Total	1.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
