SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	20.06660928	41.13897007	8	Albania	2016	F	Female	39.8	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	20.06660928	41.13897007	8	Albania	2017	F	Female	49.4	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	4.660976456	50.64104975	56	Belgium	2011	F	Female	17.2	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	17.78584332	44.16845548	70	Bosnia and Herzegovina	2015	F	Female	52.6	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2006	F	Female	51.8	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2007	F	Female	58.4	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2008	F	Female	61.1	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2017	F	Female	48.0	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2006	F	Female	45.2	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2007	F	Female	48.7	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2008	F	Female	46.2	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2009	F	Female	49.6	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2010	F	Female	47.3	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
S_1580	Percentage of women among senior-level civil servants	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2011	F	Female	44.1	PT	Percent	0	Units	nan	nan	UNECE Statistical Division Database	nan	nan	nan
