SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2005-2017	F	Female	72.20577244281813	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	28.04940161	53.54193075	112	Belarus	2005-2017	F	Female	70.15170651561968	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	15.33151382	49.73913871	203	Czechia	2005-2017	F	Female	74.91603818659951	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	2.457288129	46.62660861	250	France	2005-2017	F	Female	81.0921651637409	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	43.3713615	42.04813028	268	Georgia	2005-2017	F	Female	69.65952439946102	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	10.380606599999998	51.08862743	276	Germany	2005-2017	F	Female	87.24546743770945	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	134.3499412	-25.57717202	36	Australia	2005-2017	F	Female	81.50132985092546	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	14.14172472	47.58704857	40	Austria	2005-2017	F	Female	54.27096851698081	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	23.90517807	55.33680309	440	Lithuania	2005-2017	F	Female	78.58163871038552	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	4.660976456	50.64104975	56	Belgium	2005-2017	F	Female	86.19779186879715	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	19.40660158	52.122673299999995	616	Poland	2005-2017	F	Female	78.38043561218183	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	99.01404926	61.61899849	643	Russian Federation	2005-2017	F	Female	73.24983224049267	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
S_0970	Proportion of women in co-residing couples who make joint decision on expensive household purchases	R	Regional	4	Country or Area	14.377533800000002	60.60103109	752	Sweden	2005-2017	F	Female	84.98598127797305	PT	Percent	0	Units	nan	nan	UNECE, Generations and Gender Survey	https://www.ggp-i.org/	Latest available year	nan
