SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	MINISTER_PORTFOLIO	MINISTER_PORTFOLIO_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	25.0	Parliamentary Affairs	7.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	10.0	Information / Media	11.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	24.0	Population	13.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	9.0	Transport	16.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	29.0	Human Rights	22.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	5.0	Defence and Veteran Affairs	22.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	3.0	Finance / Budget	25.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	11.0	Communications / Telecommunications / Postal Affairs	26.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	4.0	Economy / Development	27.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	23.0	Public Administration / Public Service	30.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	17.0	Tourism	31.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	27.0	Local Government	32.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	15.0	Sports	33.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	20.0	Justice	40.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	7.0	Housing and Urban Affairs	40.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	19.0	Health	47.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	21.0	Agriculture / Food / Forestry / Fishing	50.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	6.0	Home Affairs / Immigration (including Integration and refugees)	56.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	1.0	Foreign Affairs (including Development Assistance)	60.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	26.0	Research and Development / Science and Technology	61.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	8.0	Public Works / Territorial Planning	73.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
S_1330	Number of countries with women ministers, by portfolio	G	Global	0	Global	nan	nan	1	World	2019	F	Female	13.5	Education	76.0	NUMBER	Number	0	Units	nan	nan	Women in Politics 2020, IPU & UN Women	nan	As of 1 January 2020	nan
