SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-71.23029019	-35.265288500000004	152	Chile	2018	F	Female	0.5	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2018	F	Female	0.5	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-79.54460144	22.10030366	192	Cuba	2016	F	Female	0.8	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-61.68248568	12.11238395	308	Grenada	2018	F	Female	0.0	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-58.97322037	4.788012784	328	Guyana	2017	F	Female	8.8	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-77.31068409	18.15616857	388	Jamaica	2018	F	Female	0.3	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-78.05111663	24.69546597	44	Bahamas	2018	F	Female	0.5	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-59.53464889999999	13.13648273	52	Barbados	2018	F	Female	3.4	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-85.03060315	12.84210839	558	Nicaragua	2018	F	Female	0.7	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-66.47591017	18.22753799	630	Puerto Rico	2018	F	Female	1.2	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-61.19024321	13.24627968	670	Saint Vincent and the Grenadines	2016	F	Female	0.0	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-55.90626394	4.132603197	740	Suriname	2018	F	Female	1.8	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0770	Rate of femicide by intimate partner	R	Regional	4	Country or Area	-88.70199554	17.19965901	84	Belize	2018	F	Female	2.6	PER_100000_WOMEN	Per 100,000 women	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
