SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	386.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2020	F	Female	417.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	20.06660928	41.13897007	8	Albania	2020	F	Female	1073.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	2.678164227	28.15940032	12	Algeria	2015	F	Female	7647.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	2.678164227	28.15940032	12	Algeria	2020	F	Female	3636.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	1.5762574169999999	42.54548611	20	Andorra	2015	F	Female	36.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	1.5762574169999999	42.54548611	20	Andorra	2020	F	Female	61.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	-61.7999755	17.07761471	28	Antigua and Barbuda	2015	F	Female	5.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	-61.7999755	17.07761471	28	Antigua and Barbuda	2020	F	Female	5.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	134.3499412	-25.57717202	36	Australia	2015	F	Female	327.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	134.3499412	-25.57717202	36	Australia	2020	F	Female	341.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	-78.05111663	24.69546597	44	Bahamas	2015	F	Female	22.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	-78.05111663	24.69546597	44	Bahamas	2020	F	Female	22.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	50.54907539999999	26.04407747	48	Bahrain	2015	F	Female	23.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	50.54907539999999	26.04407747	48	Bahrain	2020	F	Female	40.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	44.93839317	40.29499741	51	Armenia	2015	F	Female	239.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	44.93839317	40.29499741	51	Armenia	2020	F	Female	464.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	-59.53464889999999	13.13648273	52	Barbados	2015	F	Female	12.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	-59.53464889999999	13.13648273	52	Barbados	2020	F	Female	37.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	4.660976456	50.64104975	56	Belgium	2015	F	Female	780.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	4.660976456	50.64104975	56	Belgium	2020	F	Female	780.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	90.45098484	27.39598568	64	Bhutan	2015	F	Female	10.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	90.45098484	27.39598568	64	Bhutan	2020	F	Female	10.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	23.81380223	-22.18810073	72	Botswana	2015	F	Female	17.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	23.81380223	-22.18810073	72	Botswana	2020	F	Female	17.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	-53.08432878	-10.77668561	76	Brazil	2020	F	Female	2767.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	-88.70199554	17.19965901	84	Belize	2015	F	Female	3.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
S_1270	Number of women candidates for the lower or single houses of parliament	G	Global	4	Country or Area	-88.70199554	17.19965901	84	Belize	2020	F	Female	10.0	NUMBER	Number	0	Units	nan	nan	IPU	nan	nan	nan
