SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0410	Life expectancy at birth by sex, over time	G	Global	0	Global	nan	nan	1	World	2000	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	66.0	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	1995-2000	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	0	Global	nan	nan	1	World	2005	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	67.0	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2000-2005	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	0	Global	nan	nan	1	World	2010	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	69.0	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2005-2010	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	0	Global	nan	nan	1	World	2015	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	71.0	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2010-2015	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	0	Global	nan	nan	1	World	2020	M	Male	Y00	At birth	69.92	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2015-2020	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	0	Global	nan	nan	1	World	2020	F	Female	Y00	At birth	74.73	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2015-2020	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	0	Global	nan	nan	1	World	2020	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	72.0	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2015-2020	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2000	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	49.36	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	1995-2000	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2005	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	50.55	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2000-2005	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2010	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	54.04	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2005-2010	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2015	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	57.85	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2010-2015	nan
S_0410	Life expectancy at birth by sex, over time	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	61.0	YR	Years	0	Units	nan	nan	World population prospects 2019	nan	2015-2020	nan
