SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0030	Number of older persons aged 65+ and 80+	G	Global	0	Global	nan	nan	1	World	2020	F	Female	Y_GE65	65 years old and over	400790.334	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	0	Global	nan	nan	1	World	2020	F	Female	Y_GE80	80 old and over	89567.836	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	0	Global	nan	nan	1	World	2020	M	Male	Y_GE65	65 years old and over	326816.011	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	0	Global	nan	nan	1	World	2020	M	Male	Y_GE80	80 old and over	55935.695999999996	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	0	Global	nan	nan	1	World	2020	_T	Both sexes or no breakdown by sex	Y_GE65	65 years old and over	727606.345	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	0	Global	nan	nan	1	World	2020	_T	Both sexes or no breakdown by sex	Y_GE80	80 old and over	145503.532	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	F	Female	Y_GE65	65 years old and over	18420.31	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	F	Female	Y_GE80	80 old and over	2237.075	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	M	Male	Y_GE65	65 years old and over	14464.226999999999	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	M	Male	Y_GE80	80 old and over	1433.424	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	_T	Both sexes or no breakdown by sex	Y_GE65	65 years old and over	32884.537000000004	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	_T	Both sexes or no breakdown by sex	Y_GE80	80 old and over	3670.4990000000003	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	F	Female	Y_GE65	65 years old and over	32926.66	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	F	Female	Y_GE80	80 old and over	7572.071	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	M	Male	Y_GE65	65 years old and over	25724.417	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	M	Male	Y_GE80	80 old and over	4809.817	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	_T	Both sexes or no breakdown by sex	Y_GE65	65 years old and over	58651.077000000005	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	_T	Both sexes or no breakdown by sex	Y_GE80	80 old and over	12381.888	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	1	Region	nan	nan	513	Europe and Northern America	2020	F	Female	Y_GE65	65 years old and over	118213.448	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	1	Region	nan	nan	513	Europe and Northern America	2020	F	Female	Y_GE80	80 old and over	34779.772000000004	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	1	Region	nan	nan	513	Europe and Northern America	2020	M	Male	Y_GE65	65 years old and over	86594.585	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	1	Region	nan	nan	513	Europe and Northern America	2020	M	Male	Y_GE80	80 old and over	19649.96	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	1	Region	nan	nan	513	Europe and Northern America	2020	_T	Both sexes or no breakdown by sex	Y_GE65	65 years old and over	204808.033	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	1	Region	nan	nan	513	Europe and Northern America	2020	_T	Both sexes or no breakdown by sex	Y_GE80	80 old and over	54429.732	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	53	Australia and New Zealand	2020	F	Female	Y_GE65	65 years old and over	2613.255	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	53	Australia and New Zealand	2020	F	Female	Y_GE80	80 old and over	716.19	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	53	Australia and New Zealand	2020	M	Male	Y_GE65	65 years old and over	2310.37	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	53	Australia and New Zealand	2020	M	Male	Y_GE80	80 old and over	526.067	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	53	Australia and New Zealand	2020	_T	Both sexes or no breakdown by sex	Y_GE65	65 years old and over	4923.625	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	53	Australia and New Zealand	2020	_T	Both sexes or no breakdown by sex	Y_GE80	80 old and over	1242.257	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	543	Oceania (exc. Australia and New Zealand)	2020	F	Female	Y_GE65	65 years old and over	279.377	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	543	Oceania (exc. Australia and New Zealand)	2020	F	Female	Y_GE80	80 old and over	32.003	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	543	Oceania (exc. Australia and New Zealand)	2020	M	Male	Y_GE65	65 years old and over	244.64	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	543	Oceania (exc. Australia and New Zealand)	2020	M	Male	Y_GE80	80 old and over	24.519000000000002	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	543	Oceania (exc. Australia and New Zealand)	2020	_T	Both sexes or no breakdown by sex	Y_GE65	65 years old and over	524.0169999999999	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	543	Oceania (exc. Australia and New Zealand)	2020	_T	Both sexes or no breakdown by sex	Y_GE80	80 old and over	56.522	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2020	F	Female	Y_GE65	65 years old and over	63892.883	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2020	F	Female	Y_GE80	80 old and over	10224.447	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2020	M	Male	Y_GE65	65 years old and over	59742.778	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2020	M	Male	Y_GE80	80 old and over	8506.832	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2020	_T	Both sexes or no breakdown by sex	Y_GE65	65 years old and over	123635.661	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2020	_T	Both sexes or no breakdown by sex	Y_GE80	80 old and over	18731.279	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	747	Northern Africa and Western Asia	2020	F	Female	Y_GE65	65 years old and over	16730.636000000002	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0030	Number of older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	747	Northern Africa and Western Asia	2020	F	Female	Y_GE80	80 old and over	3183.946	NUMBER	Number	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
