SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1430	Number of women speakers in national parliaments	G	Global	0	Global	nan	nan	1	World	1995	F	Female	24	NUMBER	Number	0	Units	nan	nan	IPU’s Parline database https://data.ipu.org/	nan	nan	nan
S_1430	Number of women speakers in national parliaments	G	Global	0	Global	nan	nan	1	World	2000	F	Female	30	NUMBER	Number	0	Units	nan	nan	IPU’s Parline database https://data.ipu.org/	nan	nan	nan
S_1430	Number of women speakers in national parliaments	G	Global	0	Global	nan	nan	1	World	2005	F	Female	21	NUMBER	Number	0	Units	nan	nan	IPU’s Parline database https://data.ipu.org/	nan	nan	nan
S_1430	Number of women speakers in national parliaments	G	Global	0	Global	nan	nan	1	World	2010	F	Female	35	NUMBER	Number	0	Units	nan	nan	IPU’s Parline database https://data.ipu.org/	nan	nan	nan
S_1430	Number of women speakers in national parliaments	G	Global	0	Global	nan	nan	1	World	2015	F	Female	43	NUMBER	Number	0	Units	nan	nan	IPU’s Parline database https://data.ipu.org/	nan	nan	nan
S_1430	Number of women speakers in national parliaments	G	Global	0	Global	nan	nan	1	World	2020	F	Female	57	NUMBER	Number	0	Units	nan	nan	IPU’s Parline database https://data.ipu.org/	nan	nan	nan
