SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	0	Global	nan	nan	1	World	2019	F	Female	Y_GE65	65 years old and over	55.083402825466	PT	Percent	0	Units	nan	nan	United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	0	Global	nan	nan	1	World	2019	F	Female	Y_GE80	80 old and over	61.55715587715079	PT	Percent	0	Units	nan	nan	United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2019	F	Female	Y_GE65	65 years old and over	67.25847052958046	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2019	F	Female	Y_GE80	80 old and over	77.64647448859118	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	104.922836	12.71163737	116	Cambodia	2019	F	Female	Y_GE65	65 years old and over	60.856008241156594	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	104.922836	12.71163737	116	Cambodia	2019	F	Female	Y_GE80	80 old and over	63.100888656560365	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	80.70489654	7.614693343	144	Sri Lanka	2019	F	Female	Y_GE65	65 years old and over	56.525784028956636	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	80.70489654	7.614693343	144	Sri Lanka	2019	F	Female	Y_GE80	80 old and over	62.60311793605645	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2019	F	Female	Y_GE65	65 years old and over	56.015111296838406	PT	Percent	0	Units	nan	nan	United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2019	F	Female	Y_GE80	80 old and over	60.947435212487456	PT	Percent	0	Units	nan	nan	United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2019	F	Female	Y_GE65	65 years old and over	57.634705694192704	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2019	F	Female	Y_GE80	80 old and over	65.53078298690679	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	50.01064725	40.39229544	31	Azerbaijan	2019	F	Female	Y_GE65	65 years old and over	58.036214572144594	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
S_0040	Share of women among older persons aged 65+ and 80+	G	Global	4	Country or Area	50.01064725	40.39229544	31	Azerbaijan	2019	F	Female	Y_GE80	80 old and over	64.69827812976784	PT	Percent	0	Units	nan	nan	World Population Prospects, 2019	nan	nan	nan
