SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	URBANIZATION	URBANIZATION_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	M	Male	Y15T24	15 to 24 years old	_T	Total	35.4	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), INEGI.	nan	1996-2002.	nan
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	F	Female	Y15T24	15 to 24 years old	_T	Total	29.7	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), INEGI.	nan	1996-2002.	nan
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	M	Male	Y15	15 years old	_T	Total	67.0	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), 1996. National Survey of Occupation and Employment, (ENOE), 2019 INEGI.	nan	nan	nan
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	M	Male	Y16	16 years old	_T	Total	55.2	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), 1996. National Survey of Occupation and Employment, (ENOE), 2019 INEGI.	nan	nan	nan
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	M	Male	Y17	17 years old	_T	Total	45.8	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), 1996. National Survey of Occupation and Employment, (ENOE), 2019 INEGI.	nan	nan	nan
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	M	Male	Y18	18 years old	_T	Total	33.8	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), 1996. National Survey of Occupation and Employment, (ENOE), 2019 INEGI.	nan	nan	nan
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	M	Male	Y19	19 years old	_T	Total	33.3	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), 1996. National Survey of Occupation and Employment, (ENOE), 2019 INEGI.	nan	nan	nan
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	M	Male	Y20	20 years old	_T	Total	29.9	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), 1996. National Survey of Occupation and Employment, (ENOE), 2019 INEGI.	nan	nan	nan
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	M	Male	Y21	21 years old	_T	Total	25.6	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), 1996. National Survey of Occupation and Employment, (ENOE), 2019 INEGI.	nan	nan	nan
S_0270	School attendance rate of the population aged 15 to 24	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	1996	M	Male	Y22	22 years old	_T	Total	21.1	PT	Percent	0	Units	nan	nan	National Survey of Household Income and Expenditure (ENIGH), 1996. National Survey of Occupation and Employment, (ENOE), 2019 INEGI.	nan	nan	nan
