SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	20.06660928	41.13897007	8	Albania	2018	ISCED11_2	Lower secondary education	94.86989	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	1.576257417	42.54548611	20	Andorra	2018	ISCED11_2	Lower secondary education	100.0	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	-61.7999755	17.07761471	28	Antigua and Barbuda	2018	ISCED11_2	Lower secondary education	100.0	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	44.93839317	40.29499741	51	Armenia	2018	ISCED11_2	Lower secondary education	100.0	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	50.5490754	26.04407747	48	Bahrain	2018	ISCED11_2	Lower secondary education	100.0	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	89.17660788	22.86961622	50	Bangladesh	2018	ISCED11_2	Lower secondary education	100.0	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	-64.78155012	32.27881922	60	Bermuda	2016	ISCED11_2	Lower secondary education	100.0	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	-1.742843829	12.27491081	854	Burkina Faso	2018	ISCED11_2	Lower secondary education	21.1039	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2017	ISCED11_2	Lower secondary education	100.0	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
S_0400	Percentage of schools providing life skills-based HIV and sexuality education	G	Global	4	Country or Area	-23.63544151	15.07791834	132	Cabo Verde	2017	ISCED11_2	Lower secondary education	100.0	PT	Percent	0	Units	nan	nan	UNESCO/UIS Database	nan	nan	nan
