SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	LEGISLATIVE_LEVEL	LEGISLATIVE_LEVEL_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2020	L	Lower house	M	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Male, Data corresponds to lower chamber of bicameral structure of parliament
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2020	U	Upper house	M	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Male, Data corresponds to upper chamber of bicameral structure of parliament
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	20.06660928	41.13897007	8	Albania	2020	S	Single house	F	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Female, Data corresponds to unicameral structure of parliament
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	2.678164227	28.15940032	12	Algeria	2020	L	Lower house	M	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Male, Data corresponds to lower chamber of bicameral structure of parliament
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	134.3499412	-25.57717202	36	Australia	2020	L	Lower house	M	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Male, Data corresponds to lower chamber of bicameral structure of parliament
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	134.3499412	-25.57717202	36	Australia	2020	U	Upper house	M	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Male, Data corresponds to upper chamber of bicameral structure of parliament
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	14.14172472	47.58704857	40	Austria	2020	L	Lower house	M	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Male, Data corresponds to lower chamber of bicameral structure of parliament
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	14.14172472	47.58704857	40	Austria	2020	U	Upper house	M	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Male, Data corresponds to upper chamber of bicameral structure of parliament
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	89.17660788	22.86961622	50	Bangladesh	2020	S	Single house	M	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Male, Data corresponds to unicameral structure of parliament
S_1360	Sex of chair of defence committee	G	Global	4	Country or Area	4.660976456	50.64104975	56	Belgium	2020	L	Lower house	M	CATEGORICAL	Categorical variable	nan	Not applicable	nan	nan	IPU's Parline database	https://data.ipu.org/	nan	Male, Data corresponds to lower chamber of bicameral structure of parliament
