SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1660	Proportion of women on boards of MSCI World companies	G	Global	0	Global	nan	nan	1	World	2014	F	Female	15.9	PT	Percent	0	Units	nan	nan	MSCI Women on Boards Progress Report 2015, 2017,2018,2019	nan	nan	nan
S_1660	Proportion of women on boards of MSCI World companies	G	Global	0	Global	nan	nan	1	World	2015	F	Female	18.1	PT	Percent	0	Units	nan	nan	MSCI Women on Boards Progress Report 2015, 2017,2018,2019	nan	nan	nan
S_1660	Proportion of women on boards of MSCI World companies	G	Global	0	Global	nan	nan	1	World	2016	F	Female	18.9	PT	Percent	0	Units	nan	nan	MSCI Women on Boards Progress Report 2015, 2017,2018,2019	nan	nan	nan
S_1660	Proportion of women on boards of MSCI World companies	G	Global	0	Global	nan	nan	1	World	2017	F	Female	20.4	PT	Percent	0	Units	nan	nan	MSCI Women on Boards Progress Report 2015, 2017,2018,2019	nan	nan	nan
S_1660	Proportion of women on boards of MSCI World companies	G	Global	0	Global	nan	nan	1	World	2018	F	Female	21.6	PT	Percent	0	Units	nan	nan	MSCI Women on Boards Progress Report 2015, 2017,2018,2019	nan	nan	nan
S_1660	Proportion of women on boards of MSCI World companies	G	Global	0	Global	nan	nan	1	World	2019	F	Female	25.0	PT	Percent	0	Units	nan	nan	MSCI Women on Boards Progress Report 2015, 2017,2018,2019	nan	nan	nan
