SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1995	F	Female	Y15T24	15 to 24 years	80.27586	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1995	M	Male	Y15T24	15 to 24 years	87.93621	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1996	F	Female	Y15T24	15 to 24 years	80.70453	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1996	M	Male	Y15T24	15 to 24 years	88.051	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1997	F	Female	Y15T24	15 to 24 years	81.90751999999999	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1997	M	Male	Y15T24	15 to 24 years	88.51539	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1998	F	Female	Y15T24	15 to 24 years	82.44266999999999	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1998	M	Male	Y15T24	15 to 24 years	89.46526999999999	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1999	F	Female	Y15T24	15 to 24 years	82.92969000000001	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	1999	M	Male	Y15T24	15 to 24 years	89.6186	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2000	F	Female	Y15T24	15 to 24 years	83.37498000000001	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2000	M	Male	Y15T24	15 to 24 years	89.84585	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2001	F	Female	Y15T24	15 to 24 years	83.48621999999999	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2001	M	Male	Y15T24	15 to 24 years	89.72365	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2002	F	Female	Y15T24	15 to 24 years	84.07069	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2002	M	Male	Y15T24	15 to 24 years	90.1963	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2003	F	Female	Y15T24	15 to 24 years	84.61246	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2003	M	Male	Y15T24	15 to 24 years	90.66306	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2004	F	Female	Y15T24	15 to 24 years	85.6465	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2004	M	Male	Y15T24	15 to 24 years	91.18621	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2005	F	Female	Y15T24	15 to 24 years	85.58471999999999	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2005	M	Male	Y15T24	15 to 24 years	91.48738	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2006	F	Female	Y15T24	15 to 24 years	85.91281	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2006	M	Male	Y15T24	15 to 24 years	91.55675	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2007	F	Female	Y15T24	15 to 24 years	86.3622	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2007	M	Male	Y15T24	15 to 24 years	91.34857	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2008	F	Female	Y15T24	15 to 24 years	86.98397	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2008	M	Male	Y15T24	15 to 24 years	91.9848	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2009	F	Female	Y15T24	15 to 24 years	87.21278000000001	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0350	Literacy rate	G	Global	0	Global	nan	nan	1	World	2009	M	Male	Y15T24	15 to 24 years	92.00528	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
