SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2019	F	Female	28.8	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2016	F	Female	41.1	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2014	F	Female	16.3	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2018	F	Female	21.1	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	104.922836	12.71163737	116	Cambodia	2016	F	Female	57.3	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	12.7419827	5.692387031	120	Cameroon	2016	F	Female	22.9	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	20.93559492	7.003720791	140	Central African Republic	2011	F	Female	12.1	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	80.70489654	7.614693343	144	Sri Lanka	2011	F	Female	8.8	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	18.66618401	15.36279341	148	Chad	2018	F	Female	12.0	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
S_1550	Percent of firms with a female top manager	G	Global	4	Country or Area	-71.23029019	-35.265288500000004	152	Chile	2010	F	Female	4.5	PT	Percent	0	Units	nan	nan	Enterprise Surveys (http://www.enterprisesurveys.org), The World Bank.	nan	2010-2020	nan
