SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0740	Number of femicide	R	Regional	4	Country or Area	-84.19712782	9.970998683	188	Costa Rica	2018	F	Female	24.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0740	Number of femicide	R	Regional	4	Country or Area	-70.49847576	18.89832088	214	Dominican Republic	2018	F	Female	106.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0740	Number of femicide	R	Regional	4	Country or Area	-78.37005241	-1.4477858909999999	218	Ecuador	2018	F	Female	104.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0740	Number of femicide	R	Regional	4	Country or Area	-88.86862995	13.73603564	222	El Salvador	2018	F	Female	232.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0740	Number of femicide	R	Regional	4	Country or Area	-65.14563274	-35.19446255	32	Argentina	2018	F	Female	255.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0740	Number of femicide	R	Regional	4	Country or Area	-91.23127459999999	15.00273719	320	Guatemala	2018	F	Female	172.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0740	Number of femicide	R	Regional	4	Country or Area	-86.59974381	14.82243161	340	Honduras	2017	F	Female	235.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0740	Number of femicide	R	Regional	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2018	F	Female	898.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0740	Number of femicide	R	Regional	4	Country or Area	-62.19261223	16.73558313	500	Montserrat	2017	F	Female	0.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
S_0740	Number of femicide	R	Regional	4	Country or Area	-81.26616623	8.450965746	591	Panama	2018	F	Female	19.0	NUMBER	Number	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), Gender Equality Observatory for Latin America and the Caribbean [online] https://oig.cepal.org/en.	nan	Latest available year	nan
