SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2018	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	1.23536	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2018	_T	Both sexes or no breakdown by sex	ISCED11_3	Upper secondary education	1.09897	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2018	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	1.07476	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2018	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	0.9632200000000001	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2018	_T	Both sexes or no breakdown by sex	ISCED11_3	Upper secondary education	0.9281299999999999	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2018	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.8427899999999999	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	1	Region	nan	nan	513	Europe and Northern America	2018	_T	Both sexes or no breakdown by sex	ISCED11_3	Upper secondary education	0.91296	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	1	Region	nan	nan	513	Europe and Northern America	2018	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.79047	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2018	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	1.24052	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2018	_T	Both sexes or no breakdown by sex	ISCED11_3	Upper secondary education	1.0644200000000001	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2018	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	0.8786299999999999	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	747	Northern Africa and Western Asia	2018	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	1.22446	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0250	Adjusted gender parity index of out-of-school rate	G	Global	2	Sub-region	nan	nan	747	Northern Africa and Western Asia	2018	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	1.1724700000000001	RO	nan	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
