SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2008	F	Female	Y45T49	45 to 49 years old	7794.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	2005-2014	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	1999	F	Female	Y45T49	45 to 49 years old	21624.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	1995-2004	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2009	F	Female	Y45T49	45 to 49 years old	22862.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	2005-2014	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	104.922836	12.71163737	116	Cambodia	1998	F	Female	Y45T49	45 to 49 years old	15793.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	1995-2004	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	80.70489654	7.614693343	144	Sri Lanka	2001	F	Female	Y45T49	45 to 49 years old	6198.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	1995-2004	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	80.70489654	7.614693343	144	Sri Lanka	2012	F	Female	Y45T49	45 to 49 years old	25060.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	2005-2014	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	-71.23029019	-35.265288500000004	152	Chile	2002	F	Female	Y45T49	45 to 49 years old	33369.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	1995-2004	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2005	F	Female	Y45T49	45 to 49 years old	129369.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	2005-2014	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	-159.77113909999997	-21.22696458	184	Cook Islands	1996	F	Female	Y45T49	45 to 49 years old	0.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	1995-2004	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	-159.77113909999997	-21.22696458	184	Cook Islands	2011	F	Female	Y45T49	45 to 49 years old	67.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	2005-2014	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	-84.19712782	9.970998683	188	Costa Rica	2000	F	Female	Y45T49	45 to 49 years old	5729.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	1995-2004	nan
S_0185	Number of women aged 45 to 49 years who have not had a child	G	Global	4	Country or Area	17.95874553	45.45172212	191	Croatia	2001	F	Female	Y45T49	45 to 49 years old	14052.0	NUMBER	Number	0	Units	E	Estimated	http://data.un.org/Data.aspx?d=POP&f=tableCode:40 - on 12 May 2020	nan	1995-2004	nan
