SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	VIOLENCE_TYPE	VIOLENCE_TYPE_DESC	PERPETRATOR	PERPETRATOR_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y18T75	18 to 75 years	PSY	Psychological	INT_PARTNER	Current or former intimate partner	20.6	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y18T75	18 to 75 years	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	16.5	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y18T75	18 to 75 years	PHY	Physical	INT_PARTNER	Current or former intimate partner	16.2	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y18T75	18 to 75 years	ECO	Economic	INT_PARTNER	Current or former intimate partner	6.3	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y18T75	18 to 75 years	SEX	Sexual	INT_PARTNER	Current or former intimate partner	3.6	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y18T24	18-24 years	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	11.0	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y25T29	25-29 years	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	13.9	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y30T39	30-39 years	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	17.7	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y40T49	40-49 years	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	18.6	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y50T59	50-59 years	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	18.5	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
S_0795	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in a lifetime, by type of violence, by age (%)	N	National	4	Country or Area	66.65359159	48.01963494	398	Kazakhstan	2015	F	Female	Y60T75	60-75 years	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	14.5	PT	Percent	0	Units	nan	nan	National VAW survey, 2015	nan	nan	nan
